# THE PLATES
#
# One line per version that has a painted plate in docs/art/, written by
# tools/chronicle-art.sh the one time it asked for that version and read by
# tools/chronicle.sh into the chapter. Append-only: a line in here is what
# stops the same commit ever being painted twice, so it is not rewritten and
# it is not reordered. A version with no line simply has no plate.
#
# commit	file	alt text
1e4d4cb2cf109d303f0a07ac0954a0e366c9dc28	1e4d4cb2.jpg	Somebody went in under the hood and closed it again.
996441266d6f94511290c7034719d0035503a8c8	99644126.jpg	The game asks who is flying now, and it remembers what they did.
d4197de7f9876a30b91ba87729e606369b29c689	d4197de7.jpg	The cabinet keeps score with slightly different arithmetic now.
7aa11756cb0244bd010d379f860af2ddc2ca3055	7aa11756.jpg	The picture changed. The game denies that it did. The HUD says so, too.
99ea1101536af7c3418b7810a89a874d3907779c	99ea1101.jpg	The spectrum drifted somewhere else.
052424943bc5a647f453ae0ced2a5f4c6ba9bbc1	05242494.jpg	The rules of the field changed while nobody was flying.
2b086162b47db9c40a9f4d50a38a0f86c0483850	2b086162.jpg	The cabinet keeps score with slightly different arithmetic now. The screen was told as well.
b1dabac1b5930be7373047b0465be57932956652	b1dabac1.jpg	The soundtrack picked up a habit. The panels caught up.
d6cccea753a1b5cd8e1571b2d8602e0f2618b027	d6cccea7.jpg	The spectrum drifted somewhere else. The HUD says so, too.
12b5821588cb6843c7865004d3ed085c18e71b94	12b58215.jpg	A rule was taken out, looked at, and put back differently.
fd19f663c6536191f5b57620d38dc67b54386646	fd19f663.jpg	The cabinet learned a new noise. The panels caught up.
bb0fc33fd88f2343830884fcb85db20cd95b3c27	bb0fc33f.jpg	David Friedrich taught the ambushes to sign their work.
8d96e74c1adba6a8d4385d5a0a9ddfeba3705ad0	8d96e74c.jpg	The sign in the corner stopped lying about the room behind it.
6a386812a624e081ec471c2dc091b3f5362f4744	6a386812.jpg	The instrument panel developed an opinion. It brought company.
f6412bc29743278325e6e1092b350ad0d8d60e60	f6412bc2.jpg	The splash screen stopped describing the ship and showed it.
9538f273faf658036c61135efdcf1e8ab6576850	9538f273.jpg	The instrument panel developed an opinion. It looks different, too.
e055287b42e12666e71b90e6ca3874bb1855be59	e055287b.jpg	The HUD is more forthcoming than it used to be. The picture followed.
e0a7f624862af95e32413a1538de5a09c543c4d9	e0a7f624.jpg	Somebody rewrote a rule the game had been taking for granted.
b842dec324a281ba6c9c481eda512d410ad0aa2b	b842dec3.jpg	The cabinet keeps score with slightly different arithmetic now.
d31aabf84aa8c1b08fae04ea532e01d8472ac6ca	d31aabf8.jpg	What counts as fair was quietly re-argued.
c7f6ade1ccf4a4829f1b84b590104f48353f240f	c7f6ade1.jpg	The rules of the field changed while nobody was flying.
a90750c70dd354cd2543db5171da43b9b9c9b86a	a90750c7.jpg	The screen mentions something it used to keep to itself.
5e29b1c9486d870678b60c98aa4d85d86d657a2a	5e29b1c9.jpg	The bookkeeping of the cabinet moved a foot to the left.
b0ffdf83b11382a66e63b7df1c6dc15c2b9d7db9	b0ffdf83.jpg	The rules of the field changed while nobody was flying.
e4fa7990a06143aac01685d58fa88a17dbdc533e	e4fa7990.jpg	The rules of the field changed while nobody was flying.
2c4f2c3641f4217205cb935ca6379235bfbfaed1	2c4f2c36.jpg	The bookkeeping of the cabinet moved a foot to the left.
d3d788423e24e226a6fb23d04f1ce1eaa766e2fa	d3d78842.jpg	The bookkeeping of the cabinet moved a foot to the left.
34959e8852e8c53d5033bc75b06dfd23a2392492	34959e88.jpg	A rule was taken out, looked at, and put back differently. The colours moved as well.
7164cd039fec3b4ecc1779b2255343beb6b996da	7164cd03.jpg	A rule was taken out, looked at, and put back differently.
